Location	Latitude	Longitude
King George Island Airport	-62.19032485771289	-58.98738430315488
Puerto Natales Airport	-51.66955466482462	-72.52588738233104
Very Large Telescope	-24.627284872695864	-70.40447093384111
Antofagasta Airport	-23.44802303699074	-70.44085065903599
Extremely Large Telescope	-24.589259016384876	-70.19192294733789
Vera Rubin Telescope	-30.24451528994096	-70.74940698178668
Gemini Telescope	-30.24072605042212	-70.73688834419104
Atacama Millimeter Array	-23.02326767728076	-67.75383090215848
